Locutor,text,Sarcasmo,Utsumi,hipérbole,Haverkate,Grice,Nakamura,Acto de habla
archer,Francamente no,FALSE,,FALSE,,,,
cheryl,"Lo del canadiense. Por favor, como que vosotros no os tiraríais allí si pudieseis",FALSE,,FALSE,,,,
archer,Tienes razón. A lo mejor así te liberas de tu energía nagativa,FALSE,,FALSE,,,,
conway,"Pues, tú sabrás",FALSE,,FALSE,,,,
lana,Para mí que fue Krieger,FALSE,,FALSE,,,,
slater,Y por qué tienes un bebé?,FALSE,,FALSE,,,,
lana,Lando,FALSE,,FALSE,,,,
madre de stan,"En serio Randy, creo que este deporte le hizo algo de daño a tu cerebro",FALSE,,FALSE,,,,
krieger,"Para, estáte quieto, para",FALSE,,FALSE,,,,
krieger,Esperad. No os ha parecido Archer un poco asustado?,FALSE,,FALSE,,,,
cartman,"No, no, usted me jode. Al carajo!",FALSE,,FALSE,,,,
archer,"Por Dios, pibe, ya te oigo",FALSE,,FALSE,,,,
cyril,"Claro, él que fuma junto a la niña",TRUE,"insinceridad,alusión",FALSE,distinto,calidad,norma,representativo
archer,Por no decir robotizado. ¿De dónde coño has sacado una mano biónica?,FALSE,,FALSE,,,,
slater,"Pues, venga, subid atrás. Tengo un avión esperando",FALSE,,FALSE,,,,
archer,"Recordadme que si ese desgraciado no os mata a todos, lo haga yo",FALSE,,FALSE,,,,
archer,"No me jodas, Cyril!",FALSE,,FALSE,,,,
lana,¿Y qué haces en la ventana?,FALSE,,FALSE,,,,
stan,"Y, pues existe un refrán hindu que dice, quien lo fundió, lo generó",FALSE,,FALSE,,,,
randy,"Corten, perdón, voy de nuevo. Intento decir que deberíamos tener diez ligas de sarcasmobol y así todos pueden jugar. ¡Ah, mierda!",TRUE,insinceridad,TRUE,distinto,calidad,,"expresivo,representativo"
archer,"Que, es todo para ella",FALSE,,FALSE,,,,
butters,"¡Muy bien! Disculpe, perdón. Ustedes lucen geniales. ¡Wow, este juego es genial!",FALSE,,FALSE,,,,
archer,¿Por qué no te callas?,FALSE,,FALSE,,,,
archer,"Coronel Calrissiano, si no te importa",FALSE,,FALSE,,,,
abuelo,Oro de quatorce quilates con una turquesa y diamantes reales,FALSE,,FALSE,,,,
lana,"¿Entonces, el plan de Conway no te parece innecesariamente complicado?",FALSE,,FALSE,,,,
randy,"Ya sabes. Intenta llegar a la zona de notación, pero con mucha amabilidad",TRUE,insinceridad,TRUE,distinto,calidad,,directivo
kyle,Sí,FALSE,,FALSE,,,,
butters,"Tengo el globo, el entrenador Marsh. ¿Ahora qué hago?",FALSE,,FALSE,,,,
malory,"Pues, yo, como es lógico",FALSE,,FALSE,,,,
guardia,Disculpe,FALSE,,FALSE,,,,
criminal,"Por favor, le han disparado",FALSE,,FALSE,,,,
archer,Y yo voto por madre y Woodhouse,FALSE,,FALSE,,,,
madre de stan,"Randy, algo te ha ocurrido. ¿No puedes dejar de ser sarcástico?",FALSE,,FALSE,,,,
ray,"Pero, oiga, ¿son necesarias las armas? Lo pregunto totalmente en serio",TRUE,insinceridad,FALSE,distinto,calidad,,"representativo,expresivo"
madre de stan,"Oh, Randy, está ocurriendo",FALSE,,FALSE,,,,
stan,"Lo siento chicos, mi papá dice que está muy ocupado con los Broncos, no tiene tiempo",FALSE,,FALSE,,,,
conway,"Y oye, llámame si no te va bien con la cría",FALSE,,FALSE,,,,
padre de butters,¿Qué?,FALSE,,FALSE,,,,
lana,¿Y no crees que parecemos récien salidos de un culebrón brasileño?,FALSE,,FALSE,,,,
malory,Bien dicho,FALSE,,FALSE,,,,
madre de butters,¿Cómo ayudarían los sosténes y sombreros de papel?,FALSE,,FALSE,,,,
cartman,"Puede ser. Necesitaré collares de oro, brazaletes de diamantes, y de esmeraldas",FALSE,,FALSE,,,,
slater,"Espera, hablas urdu?",FALSE,,FALSE,,,,
lana,"Porque sí, imbécil, resumiendo nos has cerrado en la limusina de las narices",FALSE,,FALSE,,,,
butters,"Eh, oigan. No puedo creer lo que oigo. Practicamos y preparamos para este juego y quieren rendirse.",FALSE,,FALSE,,,,
archer,Sí lo soy,FALSE,,FALSE,,,,
kyle,"No te preocupes, tiene que haber otro lugar donde compren oro cerca",FALSE,,FALSE,,,,
lana,¿Para criar a mi hija?,FALSE,,FALSE,,,,
lana,"Ya que estás aquí, ¿por qué no nos cuentas cuál es la misión?",FALSE,,FALSE,,,,
archer,"Esta Lana, mira que montar esto solo para que le llamara y pidiera ayuda. Y Slater con sangre falsa. Qué pena da el pobre",FALSE,,FALSE,,,,
krieger,"Espera, sí, literalmente",FALSE,,FALSE,,,,
randy,"No, no, el sarcasmobol no tiene nada que ver, yo sólo, sólo estoy disfrutando mucho del sarcasmo y debo buscar excusas",TRUE,"insinceridad,emocional",FALSE,distinto,calidad,expectación,"expresivo,representativo"
butters,"Bien, papá. Lo guardaré para después.",FALSE,,FALSE,,,,
slater,"Sí, sospechábamos un poco",FALSE,,FALSE,,,,
cartman,"Oh, ah... Tres dólares",FALSE,,FALSE,,,,
archer,"Al suelo, mire, ¿qué estás? Uy, estaba haciendo un simulacro. Les estaba poniendo en prueba, buen trabajo.",FALSE,,FALSE,,,,
jugador,"Cuando estoy agotado, es el único que me hace subir la compasión. Ahora de vuelta al campo",FALSE,,FALSE,,,,
sharon,"Ah, miren eso! Una corbata de cordón. No es hermosa, Stan?",FALSE,,FALSE,,,,
archer,"Espera, literalmente no, pero muchas",FALSE,,FALSE,,,,
lana,Decías algo acerca de un plan,TRUE,alusión,FALSE,,calidad,expectación,representativo
slater,Pues vas mal,FALSE,,FALSE,,,,
randy,"Sí, el otro equipo tenía una delantera tan ofensiva que me asustó mucho",TRUE,insinceridad,TRUE,distinto,calidad,,expresivo
archer,"Así mejor, que hay un bebé",FALSE,,FALSE,,,,
archer,"Idiotas, hijos de puta, conmigo está el presidente de Brasil y su esposa. Y mirad, aquí, sucia, sucia. Toda, todas las armas al suelo",FALSE,,FALSE,,,,
archer,Porque es dónde se producen 80 % de los accidentes domésticos,FALSE,,FALSE,,,,
pam,Méxicano negro?,FALSE,,FALSE,,,,
conway,"Bueno, idiotas. Gracias por ayudarme a pillar el disco. Los rusos me van a dar una pasta ancha por él",FALSE,,FALSE,,,,
malory,Una importante misión para ISIS que podemos. Enfestar de un chupe para hacer carambola,FALSE,,FALSE,,,,
randy,"Gracias, doctor, muchas gracias",TRUE,"insinceridad,emocional",FALSE,distinto,calidad,,expresivo
cyril,Tendríamos que habernos ido antes,FALSE,,FALSE,,,,
randy,"Oh, sí, buena esa",TRUE,"insinceridad,emocional",FALSE,contrario,calidad,,expresivo
archer,"Han montado todo esto? Que me dispararan, que le dispararan a Slater?",FALSE,,FALSE,,,,
vivian,Oooo... No lo recuerdo,FALSE,,FALSE,,,,
archer,Esta vez han podido con el pobre Lando. Estoy acabado,FALSE,,FALSE,,,,
lana,"Oh, pues, no te habría visto sopearte veinte copas y no haría falta para que te meneara",FALSE,,FALSE,,,,
butters,"Es cierto, Eric me dice que debería ser una mujer por lo malo que soy",FALSE,,FALSE,,,,
criminal,"Eh idiota, que soy paquistaní",FALSE,,FALSE,,,,
archer,Te he oído pero no pienso mover hasta que te lo pongas,FALSE,,FALSE,,,,
archer,Verdad?,FALSE,,FALSE,,,,
pam,"Oye, oye, venga, seguro que, esperad, que no has secuestrado al bebé. ¿Pero de verdad en la buena?",FALSE,,FALSE,,,,
archer,Más de la de la terraza,FALSE,,FALSE,,,,
cyril,Iba a decir excesivo,FALSE,,FALSE,,,,
archer,Sí,FALSE,,FALSE,,,,
butters,"Y cuando el otro equipo intenta acercarse, tendrémos que hacer un esfuerzo, llegar a nuestro centro cremoso. Es el lugar que tenemos adentro en que se encuentra todo el amor y felizidad que debemos usar para ser los jugadores más amables y compasivos que el mundo haya visto. Y sabrán que no caemos tan fácilmente",FALSE,,FALSE,,,,
archer,"¿Eh sí? Perdón, es que me preocupa haber usado mal la palabra literalmente toda mi vida",TRUE,"insinceridad,emocional",FALSE,distinto,calidad,expectación,expresivo
archer,Pero hay otras mesas,FALSE,,FALSE,,,,
jugador,¿Practicar un lunes luego de una victoria? ¡Genial!,TRUE,"insinceridad,emocional",TRUE,contrario,calidad,expectación,expresivo
archer,Cállaos los dos. Por qué aviso a navegantes? Esto es un bebé,FALSE,,FALSE,,,,
archer,"No, no para nada",TRUE,"insinceridad,emocional",FALSE,contrario,calidad,,expresivo
archer,"Bueno, conmigo está el presidente de Brasil y su esposa grande",FALSE,,FALSE,,,,
archer,"Ya, hola. Un mexicano negro?",FALSE,,FALSE,,,,
archer,¿Más jóven?,FALSE,,FALSE,,,,
conway,"¿Crees que lo hay, torpe?",FALSE,,FALSE,,,,
periodista,El entrenador Bellici dijo: 'No podemos derrotar a los Broncos. Este entrenador les duró casi un día',FALSE,,FALSE,,,,
krieger,Vale,FALSE,,FALSE,,,,
krieger,"Más quisiera, digo no, no. Estaba haciendo un estudo de mercado para TB-800 alias ciberosíto de peluche",FALSE,,FALSE,,,,
